"ID","时间","分类","类型","金额","币种","账户1","账户2","备注","已报销","手续费","优惠券","记账者","账单标记","账单图片"
"qj1682501357014163586","2023-04-26 17:29","三餐","支出","14.1","CNY",,,"","","","",,,
"qj1682481784084159176","2023-04-26 12:03","三餐","支出","12.0","CNY",,,"","","","",,,
"qj1682415793212162381","2023-04-25 17:43","三餐","支出","12.1","CNY",,,"","","","",,,
"qj1682396156580162740","2023-04-25 12:15","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj1682393567195158666","2023-04-25 11:32","三餐","支出","14.0","CNY",,,"","","","",,,
"qj1682329391051146568","2023-04-24 17:43","三餐","支出","4.1","CNY",,,"","","","",,,
"qj1682313332984159521","2023-04-24 13:15","家人","支出","159.85","CNY",,,"给浩杰的泳镜","","","",,,
"qj1682308395178101242","2023-04-24 11:53","果坚奶","支出","17.0","CNY",,,"","","","",,,
"qj1682308083222104753","2023-04-24 11:48","三餐","支出","15.0","CNY",,,"","","","",,,
"qj1682306052220165408","2023-04-24 11:14","生活","支出","10.0","CNY",,,"门禁卡","","","",,,
"qj1682304070764158993","2023-04-24 10:41","水电","支出","35.0","CNY",,,"","","","",,,
"qj1682304067412171343","2023-04-24 10:41","房租","支出","850.0","CNY",,,"","","","",,,
"qj1682242339922147777","2023-04-23 17:32","三餐","支出","9.1","CNY",,,"","","","",,,
"qj1682239237474138022","2023-04-23 16:40","生活","支出","14.8","CNY",,,"","","","",,,
"qj1682221851712111809","2023-04-23 11:50","三餐","支出","12.0","CNY",,,"","","","",,,
"qj1682172500810130384","2023-04-22 22:08","三餐","支出","16.0","CNY",,,"","","","",,,
"qj1682148041844176112","2023-04-22 15:20","三餐","支出","0.54","CNY",,,"","","","",,,
"qj1682147621555197345","2023-04-22 15:13","三餐","支出","12.0","CNY",,,"","","","",,,
"qj1682069032841186214","2023-04-21 17:23","三餐","支出","14.1","CNY",,,"","","","",,,
"qj1682054946040170958","2023-04-21 13:29","长途交通","支出","64.5","CNY",,,"","","","",,,
"qj1682049072005172774","2023-04-21 11:51","三餐","支出","14.0","CNY",,,"","","","",,,
"qj1681981417688143116","2023-04-20 17:03","三餐","支出","3.2","CNY",,,"","","","",,,
"qj1681898239717196336","2023-04-19 17:57","三餐","支出","12.8","CNY",,,"","","","",,,
"qj1681885998626193190","2023-04-19 14:33","长途交通","支出","64.5","CNY",,,"","","","",,,
"qj1681875570378118239","2023-04-19 11:39","三餐","支出","14.0","CNY",,,"","","","",,,
"qj1681872988579110026","2023-04-19 10:56","学习","支出","365.0","CNY",,,"大人物","","","",,,
"qj1681812186032159304","2023-04-18 18:03","三餐","支出","7.1","CNY",,,"","","","",,,
"qj1681812110907108507","2023-04-18 18:01","三餐","支出","26.0","CNY",,,"","","","",,,
"qj1681812108419189380","2023-04-18 18:01","三餐","支出","9.1","CNY",,,"","","","",,,
"qj1681722595181106203","2023-04-17 17:09","三餐","支出","12.1","CNY",,,"","","","",,,
"qj1681703912117151705","2023-04-17 11:58","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj1681703594727198294","2023-04-17 11:53","三餐","支出","14.0","CNY",,,"","","","",,,
"qj1681638853566170986","2023-04-16 17:54","运动","支出","76.0","CNY",,,"游泳","","","",,,
"qj1681638833726115747","2023-04-16 17:53","生活","支出","20.0","CNY",,,"一寸照","","","",,,
"qj1681566564603120268","2023-04-15 21:49","三餐","支出","1.08","CNY",,,"","","","",,,
"qj1681562114490158288","2023-04-15 20:35","三餐","支出","17.0","CNY",,,"","","","",,,
"qj1681557554134141162","2023-04-15 19:19","运动","支出","20.0","CNY",,,"深水证","","","",,,
"qj1681540689393134745","2023-04-15 14:38","三餐","支出","1.0","CNY",,,"","","","",,,
"qj1681540572843185519","2023-04-15 14:36","三餐","支出","16.0","CNY",,,"","","","",,,
"qj1681464721634170982","2023-04-14 17:32","三餐","支出","12.1","CNY",,,"","","","",,,
"qj1681447048285142986","2023-04-14 12:37","学习","支出","1965.0","CNY",,,"生财","","","",,,
"qj1681445977916100316","2023-04-14 12:19","三餐","支出","21.0","CNY",,,"","","","",,,
"qj1681437280716164033","2023-04-14 09:54","三餐","支出","5.5","CNY",,,"","","","",,,
"qj168130970972610139","2023-04-12 22:28","学习","支出","99.0","CNY",,,"绳系陪伴群","","","",,,
"qj168120259195010955","2023-04-11 16:43","三餐","支出","7.8","CNY",,,"","","","",,,
"qj168118292110512265","2023-04-11 11:15","三餐","支出","12.0","CNY",,,"","","","",,,
"qj168115153900914180","2023-04-11 02:32","运动","支出","12.55","CNY",,,"跳绳","","","",,,
"qj168113613361316350","2023-04-10 22:15","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj168112977116917402","2023-04-10 20:29","主业","收入","8375.34","CNY",,,"","","","",,,
"qj168102976072312161","2023-04-09 16:42","三餐","支出","25.0","CNY",,,"蔬菜，馒头","","","",,,
"qj168102971026618815","2023-04-09 16:41","三餐","支出","5.9","CNY",,,"","","","",,,
"qj168102970044816667","2023-04-09 16:41","果坚奶","支出","10.9","CNY",,,"","","","",,,
"qj168102905982512489","2023-04-09 16:30","三餐","支出","0.54","CNY",,,"","","","",,,
"qj168102261457318241","2023-04-09 14:43","三餐","支出","16.0","CNY",,,"","","","",,,
"qj168096367666713955","2023-04-08 22:21","三餐","支出","14.0","CNY",,,"","","","",,,
"qj168095804390016979","2023-04-08 20:47","运动","支出","60.0","CNY",,,"","","","",,,
"qj168092565123616194","2023-04-08 11:47","三餐","支出","13.0","CNY",,,"","","","",,,
"qj168088664282317150","2023-04-08 00:57","三餐","支出","9.0","CNY",,,"","","","",,,
"qj168088654233717917","2023-04-08 00:55","三餐","支出","0.54","CNY",,,"","","","",,,
"qj168086114818512077","2023-04-07 17:52","三餐","支出","4.1","CNY",,,"","","","",,,
"qj168083903752611111","2023-04-07 11:43","三餐","支出","13.0","CNY",,,"","","","",,,
"qj168077274674310770","2023-04-06 17:19","通讯","支出","30.0","CNY",,,"vpn","","","",,,
"qj168077273123112664","2023-04-06 17:18","三餐","支出","14.1","CNY",,,"","","","",,,
"qj168075632411714974","2023-04-06 12:45","三餐","支出","23.0","CNY",,,"","","","",,,
"qj168069050089417065","2023-04-05 18:28","三餐","支出","14.0","CNY",,,"","","","",,,
"qj168066971592713246","2023-04-05 12:41","三餐","支出","13.0","CNY",,,"","","","",,,
"qj168060079709319428","2023-04-04 17:33","三餐","支出","21.4","CNY",,,"","","","",,,
"qj168057756189419009","2023-04-04 11:06","三餐","支出","11.0","CNY",,,"","","","",,,
"qj168057755610319444","2023-04-04 11:05","树","支出","119.0","CNY",,,"","","","",,,
"qj168051534017214006","2023-04-03 17:49","三餐","支出","21.0","CNY",,,"","","","",,,
"qj168049398143613953","2023-04-03 11:52","三餐","支出","14.0","CNY",,,"","","","",,,
"qj168043677611113402","2023-04-02 19:59","三餐","支出","16.0","CNY",,,"","","","",,,
"qj168043351723617072","2023-04-02 19:05","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj168043350810118035","2023-04-02 19:05","运动","支出","60.0","CNY",,,"游泳","","","",,,
"qj168041109901117682","2023-04-02 12:51","三餐","支出","13.0","CNY",,,"","","","",,,
"qj168034810409812054","2023-04-01 19:21","三餐","支出","10.0","CNY",,,"","","","",,,
"qj168032538256611943","2023-04-01 13:03","三餐","支出","0.54","CNY",,,"水","","","",,,
"qj168032531829112201","2023-04-01 13:01","三餐","支出","18.0","CNY",,,"","","","",,,
"qj168027401501514688","2023-03-31 22:46","三餐","支出","5.0","CNY",,,"","","","",,,
"qj168025640302711244","2023-03-31 17:53","三餐","支出","17.1","CNY",,,"","","","",,,
"qj168023394813215188","2023-03-31 11:39","三餐","支出","16.0","CNY",,,"","","","",,,
"qj168016887440616823","2023-03-30 17:34","三餐","支出","6.1","CNY",,,"","","","",,,
"qj168014697791312191","2023-03-30 11:29","三餐","支出","12.0","CNY",,,"","","","",,,
"qj168007984054119507","2023-03-29 16:50","三餐","支出","9.1","CNY",,,"","","","",,,
"qj167999442952118893","2023-03-28 17:07","三餐","支出","7.8","CNY",,,"","","","",,,
"qj167997375818312664","2023-03-28 11:22","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167990981740910748","2023-03-27 17:36","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167988730347116685","2023-03-27 11:21","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167982945880718225","2023-03-26 19:17","零食","支出","10.3","CNY",,,"","","","",,,
"qj167982944479812367","2023-03-26 19:17","三餐","支出","7.3","CNY",,,"鸡蛋","","","",,,
"qj167982894206811510","2023-03-26 19:09","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167980269716113985","2023-03-26 11:51","三餐","支出","0.54","CNY",,,"水","","","",,,
"qj167980051184113772","2023-03-26 11:15","三餐","支出","17.0","CNY",,,"","","","",,,
"qj167980035133915697","2023-03-26 11:12","生活","支出","9.0","CNY",,,"洗衣液","","","",,,
"qj167979991365611224","2023-03-26 11:05","生活","支出","5.6","CNY",,,"洗衣","","","",,,
"qj167973783153413962","2023-03-25 17:50","三餐","支出","10.0","CNY",,,"","","","",,,
"qj167972491925614051","2023-03-25 14:15","运动","支出","55.0","CNY",,,"吃饭打车的钱，去冬奥公园跑了个半马","","","",,,
"qj167969714281812103","2023-03-25 06:32","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167967047408715699","2023-03-24 23:07","果坚奶","支出","6.5","CNY",,,"","","","",,,
"qj167966967292016490","2023-03-24 22:54","水电","支出","50.0","CNY",,,"","","","",,,
"qj167966966572213109","2023-03-24 22:54","房租","支出","850.0","CNY",,,"","","","",,,
"qj167965107251211544","2023-03-24 17:44","三餐","支出","25.4","CNY",,,"","","","",,,
"qj167963217146712979","2023-03-24 12:29","三餐","支出","23.0","CNY",,,"","","","",,,
"qj167956430932018502","2023-03-23 17:38","三餐","支出","15.8","CNY",,,"","","","",,,
"qj167954012628412462","2023-03-23 10:55","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167947834235711004","2023-03-22 17:45","三餐","支出","22.4","CNY",,,"","","","",,,
"qj167945563993414706","2023-03-22 11:27","三餐","支出","16.0","CNY",,,"","","","",,,
"qj167938873519217847","2023-03-21 16:52","三餐","支出","25.4","CNY",,,"","","","",,,
"qj167936873419119687","2023-03-21 11:18","三餐","支出","14.0","CNY",,,"","","","",,,
"qj167930109751311615","2023-03-20 16:31","三餐","支出","25.4","CNY",,,"","","","",,,
"qj167922005616011696","2023-03-19 18:00","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167921266120917809","2023-03-19 15:57","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167918173207816585","2023-03-19 07:22","三餐","支出","7.0","CNY",,,"","","","",,,
"qj167914293350613505","2023-03-18 20:35","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167911409018913531","2023-03-18 12:34","三餐","支出","0.54","CNY",,,"水","","","",,,
"qj167911350475612156","2023-03-18 12:25","零食","支出","13.0","CNY",,,"","","","",,,
"qj167911263154618289","2023-03-18 12:10","零食","支出","17.0","CNY",,,"","","","",,,
"qj167911262544813819","2023-03-18 12:10","果坚奶","支出","10.9","CNY",,,"","","","",,,
"qj167911150679912716","2023-03-18 11:51","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167904637408719471","2023-03-17 17:46","三餐","支出","7.8","CNY",,,"","","","",,,
"qj167902537407312546","2023-03-17 11:56","家人","支出","39.3","CNY",,,"卡片笔记写作法","","","",,,
"qj167902397754817784","2023-03-17 11:32","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167895739013616611","2023-03-16 17:02","三餐","支出","2.8","CNY",,,"","","","",,,
"qj167887083480314131","2023-03-15 17:00","三餐","支出","6.2","CNY",,,"","","","",,,
"qj167885395722618415","2023-03-15 12:19","三餐","支出","21.0","CNY",,,"","","","",,,
"qj167878704049512612","2023-03-14 17:44","三餐","支出","6.2","CNY",,,"","","","",,,
"qj167878693233117703","2023-03-14 17:42","三餐","支出","16.0","CNY",,,"","","","",,,
"qj167869898125119100","2023-03-13 17:16","三餐","支出","15.8","CNY",,,"","","","",,,
"qj167862277165619792","2023-03-12 20:06","三餐","支出","4.0","CNY",,,"","","","",,,
"qj167861841125111114","2023-03-12 18:53","学习","支出","465.0","CNY",,,"卡片写作陪伴群","","","",,,
"qj167860092850613626","2023-03-12 14:02","三餐","支出","16.0","CNY",,,"","","","",,,
"qj167852609737219727","2023-03-11 17:14","三餐","支出","6.2","CNY",,,"","","","",,,
"qj167850648233511769","2023-03-11 11:48","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167850338601214385","2023-03-11 10:56","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167850337823711309","2023-03-11 10:56","生活","支出","20.0","CNY",,,"理发","","","",,,
"qj167843967015610074","2023-03-10 17:14","三餐","支出","6.2","CNY",,,"","","","",,,
"qj167843503990219766","2023-03-10 15:57","主业","收入","8375.33","CNY",,,"","","","",,,
"qj167841945086814755","2023-03-10 11:37","三餐","支出","21.0","CNY",,,"","","","",,,
"qj167840870877010923","2023-03-10 08:38","三餐","支出","4.5","CNY",,,"","","","",,,
"qj167835778449812127","2023-03-09 18:29","三餐","支出","1.2","CNY",,,"","","","",,,
"qj167833640794816352","2023-03-09 12:33","三餐","支出","20.0","CNY",,,"","","","",,,
"qj167832352320910106","2023-03-09 08:58","三餐","支出","4.5","CNY",,,"","","","",,,
"qj167826574195918282","2023-03-08 16:55","三餐","支出","12.8","CNY",,,"","","","",,,
"qj167824404322015068","2023-03-08 10:54","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167818071328911420","2023-03-07 17:18","三餐","支出","23.9","CNY",,,"","","","",,,
"qj167816215563712016","2023-03-07 12:09","三餐","支出","20.0","CNY",,,"","","","",,,
"qj167814752404119174","2023-03-07 08:05","三餐","支出","4.5","CNY",,,"","","","",,,
"qj167809351175711960","2023-03-06 17:05","三餐","支出","12.8","CNY",,,"","","","",,,
"qj167807485304310450","2023-03-06 11:54","三餐","支出","21.0","CNY",,,"","","","",,,
"qj167806184593810648","2023-03-06 08:17","三餐","支出","4.5","CNY",,,"","","","",,,
"qj167801545650013382","2023-03-05 19:24","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167798754756018819","2023-03-05 11:39","三餐","支出","44.0","CNY",,,"汉堡王太贵了！","","","",,,
"qj167797649867815176","2023-03-05 08:34","三餐","支出","6.5","CNY",,,"","","","",,,
"qj167792588262612478","2023-03-04 18:31","三餐","支出","6.0","CNY",,,"","","","",,,
"qj167790910799519891","2023-03-04 13:51","社交","支出","329.0","CNY",,,"送吉吉头盔","","","",,,
"qj167790363716813608","2023-03-04 12:20","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167790092401812088","2023-03-04 11:35","果坚奶","支出","11.9","CNY",,,"","","","",,,
"qj167790092050717594","2023-03-04 11:35","三餐","支出","25.4","CNY",,,"","","","",,,
"qj167786207819712708","2023-03-04 00:47","短途交通","支出","3.0","CNY",,,"","","","",,,
"qj167783524549113801","2023-03-03 17:20","三餐","支出","20.9","CNY",,,"","","","",,,
"qj167781524388919128","2023-03-03 11:47","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167781469046017082","2023-03-03 11:38","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167774651076416124","2023-03-02 16:41","三餐","支出","21.6","CNY",,,"","","","",,,
"qj167772905497513714","2023-03-02 11:50","三餐","支出","19.0","CNY",,,"","","","",,,
"qj167771882659917036","2023-03-02 09:00","三餐","支出","3.0","CNY",,,"","","","",,,
"qj167771888024111368","2023-03-01 10:55","三餐","支出","22.4","CNY",,,"","","","",,,
"qj167763933746611035","2023-03-01 10:55","三餐","支出","14.0","CNY",,,"","","","",,,
"qj167757408242710777","2023-02-28 16:48","三餐","支出","21.4","CNY",,,"","","","",,,
"qj167755463857518813","2023-02-28 11:23","三餐","支出","18.0","CNY",,,"","","","",,,
"qj167748814453510328","2023-02-27 16:55","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167746716837112453","2023-02-27 11:06","果坚奶","支出","39.9","CNY",,,"","","","",,,
"qj167746716531019067","2023-02-27 11:06","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167740298522014363","2023-02-26 17:16","三餐","支出","15.0","CNY",,,"","","","",,,
"qj167739008999918455","2023-02-26 13:41","三餐","支出","13.0","CNY",,,"","","","",,,
"qj167734043692519476","2023-02-25 23:53","果坚奶","支出","22.4","CNY",,,"","","","",,,
"qj167730325950413596","2023-02-25 13:34","三餐","支出","8.0","CNY",,,"","","","",,,
"qj167730208238513951","2023-02-25 13:14","三餐","支出","24.0","CNY",,,"","","","",,,
"qj167724872511915648","2023-02-24 22:25","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167723326607514649","2023-02-24 18:07","三餐","支出","17.8","CNY",,,"","","","",,,
"qj167722064709910440","2023-02-24 14:37","水电","支出","90.0","CNY",,,"","","","",,,
"qj167722064325610859","2023-02-24 14:37","房租","支出","850.0","CNY",,,"","","","",,,
"qj167720802740917844","2023-02-24 11:07","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167714328157118331","2023-02-23 17:08","三餐","支出","13.8","CNY",,,"","","","",,,
"qj167712505565313872","2023-02-23 12:04","三餐","支出","18.0","CNY",,,"","","","",,,
"qj167711761380410066","2023-02-23 10:00","三餐","支出","3.0","CNY",,,"","","","",,,
"qj167705653273516747","2023-02-22 17:02","三餐","支出","19.8","CNY",,,"","","","",,,
"qj167703425920719759","2023-02-22 10:50","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167696978788710131","2023-02-21 16:56","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167695157713615707","2023-02-21 11:52","三餐","支出","26.0","CNY",,,"","","","",,,
"qj167688617084316325","2023-02-20 17:42","三餐","支出","15.8","CNY",,,"","","","",,,
"qj167686621438018017","2023-02-20 12:10","三餐","支出","23.0","CNY",,,"","","","",,,
"qj167685494332315298","2023-02-20 09:01","生活","支出","89.9","CNY",,,"运动鞋","","","",,,
"qj167677238807717277","2023-02-19 10:06","短途交通","支出","50.0","CNY",,,"","","","",,,
"qj167671957910419604","2023-02-18 19:26","果坚奶","支出","7.4","CNY",,,"","","","",,,
"qj167668295751118213","2023-02-18 09:15","三餐","支出","9.5","CNY",,,"","","","",,,
"qj167662461790512107","2023-02-17 17:03","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167660548199917256","2023-02-17 11:44","三餐","支出","24.0","CNY",,,"","","","",,,
"qj167658970060517206","2023-02-17 07:21","三餐","支出","5.0","CNY",,,"","","","",,,
"qj167653871603611249","2023-02-16 17:11","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167652102393112127","2023-02-16 12:17","三餐","支出","23.0","CNY",,,"","","","",,,
"qj167645149889819743","2023-02-15 16:58","三餐","支出","17.8","CNY",,,"","","","",,,
"qj167643351225015716","2023-02-15 11:58","三餐","支出","20.0","CNY",,,"","","","",,,
"qj167637059165815228","2023-02-14 18:29","学习","支出","294.0","CNY",,,"得到听书年卡","","","",,,
"qj167636630238719844","2023-02-14 17:18","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167634626595818777","2023-02-14 11:44","三餐","支出","21.0","CNY",,,"","","","",,,
"qj167627853494710839","2023-02-13 16:55","三餐","支出","15.8","CNY",,,"","","","",,,
"qj167626126668211926","2023-02-13 12:07","三餐","支出","22.0","CNY",,,"","","","",,,
"qj167625245578413701","2023-02-13 09:40","短途交通","支出","49.35","CNY",,,"","","","",,,
"qj167621719231118534","2023-02-12 23:53","社交","支出","85.0","CNY",,,"小希小火浩然萌萌","","","",,,
"qj167617211921815234","2023-02-12 11:21","其它","收入","39.6","CNY",,,"吉吉群","","","",,,
"qj167609007001113656","2023-02-11 12:34","生活","支出","4.8","CNY",,,"","","","",,,
"qj167608749770010838","2023-02-11 11:51","三餐","支出","31.0","CNY",,,"","","","",,,
"qj167608275945911418","2023-02-11 10:32","三餐","支出","3.0","CNY",,,"","","","",,,
"qj167602726180811342","2023-02-10 19:07","主业","收入","8375.33","CNY",,,"","","","",,,
"qj167601961454214133","2023-02-10 17:00","三餐","支出","19.8","CNY",,,"","","","",,,
"qj167599989233614377","2023-02-10 11:31","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167595609874618339","2023-02-09 23:21","学习","支出","6.0","CNY",,,"得到听书","","","",,,
"qj167595486881912942","2023-02-09 23:01","三餐","支出","17.0","CNY",,,"","","","",,,
"qj167593592767019553","2023-02-09 17:45","三餐","支出","19.8","CNY",,,"","","","",,,
"qj167591708741111865","2023-02-09 12:31","短途交通","支出","20.0","CNY",,,"","","","",,,
"qj167591485147115456","2023-02-09 11:54","短途交通","支出","5.0","CNY",,,"","","","",,,
"qj167591484857911298","2023-02-09 11:54","三餐","支出","16.0","CNY",,,"","","","",,,
"qj167585404881817479","2023-02-08 19:00","三餐","支出","22.0","CNY",,,"","","","",,,
"qj167582971777318069","2023-02-08 12:15","三餐","支出","21.0","CNY",,,"","","","",,,
"qj167582717580318506","2023-02-08 11:32","短途交通","支出","9.0","CNY",,,"","","","",,,
"qj167574158512914918","2023-02-07 11:46","三餐","支出","12.0","CNY",,,"","","","",,,
"qj167574158133215284","2023-02-07 11:46","短途交通","支出","9.0","CNY",,,"","","","",,,
"qj167567450645819303","2023-02-06 17:08","三餐","支出","18.8","CNY",,,"","","","",,,
"qj167565400903113583","2023-02-06 11:26","三餐","支出","24.0","CNY",,,"","","","",,,
"qj167565228865411615","2023-02-06 10:58","短途交通","支出","9.0","CNY",,,"","","","",,,
"qj167557690147310505","2023-02-05 14:01","零食","支出","29.3","CNY",,,"汤圆","","","",,,
"qj167557688572119554","2023-02-05 14:01","果坚奶","支出","12.7","CNY",,,"","","","",,,
"qj167557471544511179","2023-02-05 13:25","三餐","支出","12.0","CNY",,,"","","","",,,
